ano,muni_id,muni_nm,uf_sigla,regiao_nm,idhm,idhm_e,idhm_l,idhm_r,espvida,rdpc,gini,pop,lat,lon
2010,3524709,JAGUARIÚNA,SP,Sudeste,0.784,0.715,0.862,0.782,76.74,1038.61,0.49,44108,-22.706,-46.986
2010,3524808,JALES,SP,Sudeste,0.776,0.73,0.855,0.75,76.32,850.11,0.46,46845,-20.269,-50.546
2010,3524907,JAMBEIRO,SP,Sudeste,0.756,0.69,0.86,0.727,76.61,738.52,0.49,5330,-23.254,-45.688
2010,3525003,JANDIRA,SP,Sudeste,0.76,0.706,0.841,0.738,75.46,792.33,0.48,108176,-23.528,-46.903
2010,3525102,JARDINÓPOLIS,SP,Sudeste,0.735,0.64,0.853,0.728,76.15,742.74,0.48,37497,-21.018,-47.764
2010,3525201,JARINU,SP,Sudeste,0.733,0.659,0.826,0.723,74.53,718.61,0.45,23797,-23.101,-46.728
2010,3525300,JAÚ,SP,Sudeste,0.778,0.693,0.886,0.768,78.13,951.17,0.45,130243,-22.296,-48.558
2010,3525409,JERIQUARA,SP,Sudeste,0.703,0.628,0.814,0.68,73.86,549.1,0.42,3160,-20.311,-47.589
2010,3525508,JOANÓPOLIS,SP,Sudeste,0.699,0.585,0.824,0.707,74.43,650.99,0.43,11658,-22.93,-46.276
2010,3525607,JOÃO RAMALHO,SP,Sudeste,0.741,0.71,0.818,0.701,74.1,627.59,0.42,4123,-22.25,-50.768
2010,3525706,JOSÉ BONIFÁCIO,SP,Sudeste,0.777,0.717,0.869,0.752,77.14,863.34,0.45,32651,-21.053,-49.688
2010,3525805,JÚLIO MESQUITA,SP,Sudeste,0.716,0.686,0.813,0.659,73.76,482.86,0.41,4430,-22.009,-49.787
2010,3525854,JUMIRIM,SP,Sudeste,0.741,0.655,0.863,0.721,76.75,710.27,0.39,2798,-23.087,-47.784
2010,3525904,JUNDIAÍ,SP,Sudeste,0.822,0.768,0.866,0.834,76.94,1431.55,0.53,368732,-23.186,-46.884
2010,3526001,JUNQUEIRÓPOLIS,SP,Sudeste,0.745,0.662,0.86,0.727,76.61,737.14,0.43,17409,-21.515,-51.434
2010,3526100,JUQUIÁ,SP,Sudeste,0.7,0.637,0.823,0.654,74.36,467.35,0.49,18876,-24.321,-47.635
2010,3526209,JUQUITIBA,SP,Sudeste,0.709,0.662,0.791,0.68,72.48,550.32,0.49,28464,-23.932,-47.068
2010,3526308,LAGOINHA,SP,Sudeste,0.693,0.609,0.797,0.686,72.82,573.28,0.48,4789,-23.091,-45.19
2010,3526407,LARANJAL PAULISTA,SP,Sudeste,0.729,0.639,0.829,0.732,74.73,760.58,0.41,25243,-23.05,-47.837
2010,3526506,LAVÍNIA,SP,Sudeste,0.721,0.655,0.82,0.698,74.17,614.14,0.38,5107,-21.168,-51.04
